xinf:   1.44224957030741e+00
 n                     xn                     en significantDigits
  0   1.00000000000000e+00  -4.42249570307408e-01            2
  1   1.66666666666667e+00   2.24417096359258e-01            2
  2   1.47111111111111e+00   2.88615408037027e-02            3
  3   1.44281209824934e+00   5.62527941935009e-04            5
  4   1.44224978959900e+00   2.19291591330162e-07            8
  5   1.44224957030744e+00   3.33066907387547e-14           15
  6   1.44224957030741e+00   0.00000000000000e+00   2147483648
  7   1.44224957030741e+00   0.00000000000000e+00   2147483648
  8   1.44224957030741e+00   0.00000000000000e+00   2147483648
