 n                     xn                     en
  0   1.00000000000000e+00   0.00000000000000e+00
  1   1.66666666666667e+00   6.66666666666667e-01
  2   1.47111111111111e+00   4.71111111111111e-01
  3   1.44281209824934e+00   4.42812098249343e-01
  4   1.44224978959900e+00   4.42249789599000e-01
  5   1.44224957030744e+00   4.42249570307442e-01
  6   1.44224957030741e+00   4.42249570307408e-01
  7   1.44224957030741e+00   4.42249570307408e-01
  8   1.44224957030741e+00   4.42249570307408e-01
